word,Length,Arousal.M,Arousal.SD,Arousal.N,Valence.M,Valence.SD,Valence.N,Dominance.M,Dominance.SD,Dominance.N,Concreteness.M,Concreteness.SD,Concreteness.N,Imageability.M,Imageability.SD,Imageability.N,Familiarity.M,Familiarity.SD,Familiarity.N,AoA.M,AoA.SD,AoA.N,Size.M,Size.SD,Size.N,Gender.M,Gender.SD,Gender.N
file (record),4,3.063,1.731,32,4.794,0.932,34,4.939,2.014,33,5.242,1.478,33,5.182,1.507,33,5.382,1.553,34,4.618,1.415,34,3,1.078,31,3.657,1.145,35
file (tool),4,2.871,1.641,31,5,0.739,33,5.323,1.423,31,6.633,0.605,30,6.125,1.293,32,4.781,1.798,32,5.033,1.378,30,2.807,1.06,31,4.719,1.231,32
fire (employment),4,5.714,2.172,35,2.257,1.794,35,4.743,2.902,35,4.114,1.785,35,3.971,1.63,35,5.086,1.795,35,4.4,1.247,35,4.886,1.45,35,5.029,1.108,35
fire (flames),4,6.571,2.115,35,4.029,1.992,34,4.875,2.69,32,6.324,1.13,34,6.824,0.452,34,6.455,1.047,33,2.4,1.2,35,5.677,1.322,34,4.559,1.418,34
fire (gun),4,5.353,2.507,34,3.063,1.478,32,5.333,2.482,33,5.355,1.404,31,5.75,1.199,32,5.394,1.722,33,3.529,1.194,34,4.324,1.981,34,5.727,1.136,33
fit (convulsion),3,4.758,2.475,33,2.485,1.69,33,3.061,1.757,33,5.182,1.527,33,5.333,1.45,33,4.853,1.987,34,5.212,1.273,33,4.515,1.184,33,4.156,0.833,32
fit (healthy),3,6.97,1.642,33,8.235,0.769,34,7.059,1.862,34,4.371,1.914,35,5.697,0.937,33,6.265,1.093,34,3.912,1.422,34,4.743,1.078,35,4.618,1.213,34
fit (suitable),3,4.625,1.949,32,6.125,1.218,32,5.618,1.698,34,3.353,1.747,34,3.441,1.418,34,5.879,1.2,33,4.371,1.587,35,3.857,1.588,35,4.088,0.981,34
flick (movement),5,6,1.328,34,5,0.939,34,5.618,1.941,34,4.882,1.567,34,6.029,1.014,34,5.206,1.586,34,3.294,1.177,34,2.333,1.318,33,3.735,1.244,34
flick (movie),5,5.121,2.226,33,6.5,1.334,34,5.194,1.804,31,5.938,0.899,32,5.118,1.694,34,4.121,2.143,33,5,1,32,4.091,1.865,33,2.882,1.278,34
fly (insect),3,2.971,1.948,34,4.091,1.311,33,5.029,1.647,35,6.382,1.112,34,6.735,0.503,34,6.059,1.056,34,2.143,0.723,35,1.471,1.242,34,4.324,0.865,34
fly (through air),3,6.594,1.918,32,6.677,1.49,34,6.029,2.256,34,4.471,1.944,34,5.647,1.348,34,6.03,1.218,33,2.529,1.007,34,4.824,1.74,34,3.853,1.088,34
foil (metal),4,3.371,2.139,35,5.03,0.627,33,5.029,1.071,34,6.171,1.108,35,5.743,1.662,35,5.286,1.614,35,3.457,1.024,35,2.853,1.309,34,4.647,0.836,34
foil (prevent),4,4.424,2.216,33,3.794,2.011,34,5.242,2.594,33,2.818,1.381,33,2.625,1.474,32,4.333,1.804,33,5.516,1.215,31,3.706,1.249,34,4.531,1.089,32
foot (body),4,2.765,1.436,34,5.324,1.021,34,5.412,1.629,34,6.735,0.559,34,6.788,0.769,33,6.559,0.65,34,1.765,1.214,34,2.364,1.039,33,4.529,0.915,34
foot (length),4,3.486,2.089,35,4.939,0.736,33,4.914,1.795,35,5.588,1.7,34,4.8,1.894,35,5.758,1.349,33,4.286,1.343,35,3.485,1.617,33,5,0.926,35
fork (cutlery),4,3.177,1.855,34,5.441,1.439,34,5.794,2.069,34,6.771,0.539,35,6.853,0.429,34,6.758,0.78,33,2.056,1.29,36,2.194,1.221,36,4.083,1.211,36
fork (road),4,3.909,2.08,33,4.875,0.927,32,4.727,1.911,33,5.727,1.238,33,5.727,1.332,33,4.367,2.041,30,4.75,1.392,32,4,1.639,32,4.788,0.879,33
foul (disgusting),4,3.771,2.726,35,1.571,0.935,35,3.5,1.649,34,2.647,1.473,34,4.265,2.034,34,4.75,1.696,32,4.657,1.511,35,4.571,1.555,35,4.943,0.893,35
foul (penalty),4,3.625,2.19,32,2.774,1.007,31,4.188,1.53,32,3.781,1.816,32,4.094,1.568,32,5.094,1.568,32,4.094,1.444,32,3.742,1.48,31,5.375,0.96,32
fuck (exclamation),4,7.088,2.106,34,3.735,2.33,34,6.343,2.028,35,2.909,1.99,33,3.177,2.281,34,6.629,0.759,35,5.914,0.967,35,5.229,1.742,35,5.429,1.358,35
fuck (sex),4,8.059,1.211,34,6.971,2.107,34,6.849,2.176,33,4.849,1.925,33,6.219,0.96,32,6.606,0.952,33,5.912,1.067,34,5.529,1.311,34,5.382,1.237,34
gag (choker),3,4.257,1.976,35,3.143,1.355,35,3.429,2.155,35,5.886,1.304,35,5.343,1.638,35,4.2,1.909,35,5.059,1.187,34,3.314,1.469,35,4.429,1.178,35
gag (joke),3,5.333,2.211,33,6.441,1.802,34,5.455,1.578,33,3.735,1.614,34,3.471,1.702,34,5,1.741,33,5.029,1.543,34,3.177,1.248,34,4.515,0.957,33
game (animal),4,4.364,2.447,33,5.235,1.496,34,5.594,2.013,32,5.813,1.31,32,6.152,0.892,33,4.844,1.873,32,5.412,1.478,34,3.75,1.346,32,4.914,1.317,35
game (sport),4,4.563,2.41,32,6,1.111,34,5.765,1.554,34,5.412,1.458,34,5.618,1.306,34,6.088,1.38,34,2.382,0.94,34,4.794,1.43,34,5.735,0.779,34
gay (homosexual),3,4.771,2.281,35,5.343,1.835,35,5.147,1.865,34,4.657,1.956,35,5,1.894,34,6.324,1.23,34,5.314,1.304,35,4.794,1.549,34,5.556,1.322,36
gay (joyous),3,6.364,1.573,33,8.156,0.939,32,6.281,1.644,32,3.515,1.69,33,4.606,1.613,33,4.25,1.785,32,5,1.393,33,4.606,1.575,33,3.455,1.559,33
general (common),7,3.265,1.668,34,5.061,0.489,33,5.061,0.983,33,3.242,1.256,33,2.758,1.181,33,6.242,1.045,33,4.441,1.397,34,4.147,1.537,34,4,0.492,33
general (military),7,4.943,2.354,35,4.765,1.75,34,5.514,3.148,35,5.824,1.339,34,5.824,1.042,34,4.364,1.702,33,5,1.455,34,5.455,1.281,33,6.471,0.776,34
glasses (drinks),7,4.714,2.421,35,5.647,1.16,34,5.588,1.353,34,6.314,1.214,35,6.457,0.805,35,6.353,0.967,34,2.6,0.991,35,2.886,1.326,35,4.086,1.105,35
glasses (eye),7,3.333,1.589,33,5.5,1.595,34,4.758,1.741,33,6.647,0.836,34,6.794,0.472,34,6.382,1.213,34,2.647,0.967,34,2.706,1.466,34,4.061,0.983,33
gorge (canyon),5,5.406,2.289,32,5.118,1.182,34,4.697,2.181,33,6.143,1.334,35,6.088,1.269,34,3.118,1.906,34,5.441,1.265,34,6.314,1.166,35,4.971,1.098,34
gorge (overeat),5,4.667,2.142,33,2.879,1.387,33,4.324,2.434,34,4.4,1.607,35,5.147,1.438,34,4.353,1.747,34,5.286,1.161,35,4.794,1.694,34,4.294,1.125,34
grade (mark),5,4.147,2.198,34,5.177,1.599,34,4.412,1.927,34,4.647,1.678,34,4.529,1.538,34,6.303,0.969,33,4.177,1.097,34,4.061,1.669,33,4.333,1.005,33
grade (slope),5,3.257,1.73,35,4.912,0.919,34,5.03,1.714,33,4.706,1.404,34,4.314,1.864,35,3.424,1.81,33,5.857,1.245,35,4.471,1.311,34,4.143,0.798,35
grain (sand),5,3.486,2.048,35,5.294,0.787,34,4.8,1.43,35,6.429,0.871,35,6.429,0.935,35,5.059,1.662,34,3.4,1.02,35,1.371,1.017,35,3.829,0.845,35
grain (wheat),5,2.394,1.455,33,5.849,1.373,33,5.156,1.822,32,6.188,1.402,32,6.091,1.19,33,5.333,1.837,33,3.667,1.172,33,2.03,1.566,33,3.879,1.066,33
grave (cemetary),5,3.706,2.19,34,2.667,1.363,33,3.735,1.754,34,6.457,0.769,35,6.382,1.029,34,5.727,1.355,33,3.629,1.149,35,5.265,1.559,34,4.576,0.986,33
grave (serious),5,4.559,2.603,34,2.629,1.354,35,4.853,2.475,34,2.886,1.489,35,3.647,1.969,34,4.688,1.776,32,5.371,1.289,35,4.941,1.434,34,4.886,1.115,35
green (colour),5,4.588,2.031,34,5.886,1.19,35,5.059,1.644,34,4.647,2.042,34,6.882,0.322,34,6.636,0.688,33,1.714,0.913,35,3.886,1.41,35,3.743,1.203,35
green (environmental),5,4.394,2.229,33,7.114,1.72,35,5.455,1.794,33,3.375,1.596,32,4.171,1.797,35,5.813,1.467,32,4.971,1.599,34,5.727,1.262,33,3.03,1,33
green (naive),5,3.839,1.816,31,3.968,1.713,31,4.094,1.926,32,2.833,1.772,30,2.688,1.927,32,3.194,2.07,31,5.781,1.495,32,3.194,1.119,31,3.807,1.06,31
groom (bride),5,5.583,2.302,36,7,1.667,36,5.394,1.65,33,6.273,1.081,33,6.677,0.794,34,5.939,1.476,33,3.861,1.316,36,4.286,1.446,35,6.028,1.5,36
groom (look after),5,5,2.132,33,7,1.244,31,5.667,2.184,33,3.667,1.363,33,4.515,1.76,33,4.781,1.781,32,4.636,1.275,33,3.546,1.104,33,3.758,1.939,33
habit (nun),5,3.281,1.972,32,4.667,1.407,33,4.233,1.585,30,5.433,1.667,30,5.167,1.985,30,3,1.94,34,5.433,1.383,30,3.375,1.317,32,2.258,1.015,31
habit (smoking),5,3.697,2.418,33,2.061,1.099,33,3.364,2.41,33,4.097,2.1,31,4.457,1.918,35,5.667,1.66,30,4.371,1.495,35,4.8,1.721,35,4.794,1.158,34
hammered (drunk),8,5.829,2.396,35,3.765,2.045,34,3.857,2.497,35,3.457,1.762,35,5.735,1.379,34,5.629,1.514,35,6.429,1.022,35,4.514,1.381,35,5.912,1.067,34
hammered (nail),8,4.457,2.359,35,4.412,1.216,34,5.735,2.091,34,5.265,1.54,34,5.286,1.683,35,5.177,1.757,34,3.971,1.54,35,3.471,1.48,34,5.971,0.822,34
hard (not easy),4,4.257,2.247,35,3.229,1.267,35,3.943,1.881,35,3.429,1.661,35,3.371,1.868,35,6.091,1.422,33,2.4,1.047,35,4.412,1.396,34,4.571,1.022,35
hard (not soft),4,5.121,1.903,33,4.294,1.466,34,5.618,1.863,34,5.156,1.734,32,4.257,1.947,35,6.294,0.956,34,2.057,0.674,35,4.265,1.038,34,5.515,0.783,33
harp (instrument),4,4.061,2.173,33,6.114,1.09,35,4.429,1.555,35,6.771,0.539,35,6.4,1.357,35,4.371,1.868,35,4.2,1.19,35,4.029,1.361,34,2.457,0.996,35
harp (pick on),4,4.849,2.162,33,4.606,2.044,33,4.618,1.91,34,4.636,2.115,33,4.735,2.133,34,3.515,1.794,33,4.97,1.547,33,3.788,1.572,33,3.125,1.341,32
hawk (bird),4,5.5,2.047,34,5.235,1.307,34,5.303,1.732,33,6.706,0.516,34,6.765,0.597,34,5.438,1.731,32,3.618,1.138,34,3.727,1.656,33,4.971,1.272,34
hawk (sell),4,4.031,2.023,32,4.7,1.394,30,5.615,1.643,26,3.533,1.727,30,3.452,1.948,31,2.438,1.676,32,6.032,1.257,31,3.483,1.193,29,4.759,0.727,29
head (body),4,4.824,1.977,34,5.912,1.172,34,6.677,1.49,34,6.706,0.62,34,6.677,0.716,34,6.677,0.58,34,1.647,0.836,34,3.5,1.46,34,4.353,1.026,34
head (leader),4,5.235,1.956,34,6.657,1.548,35,6.265,3.061,34,4.686,1.833,35,5.121,1.572,33,5.265,1.501,34,3.765,1.373,34,5.4,1.101,35,5.206,1.41,34
head (semen),4,5.788,2.293,33,5.129,1.519,31,5.182,1.817,33,5.727,1.332,33,5.212,1.513,33,4.324,2.025,34,6.576,0.698,33,2.656,1.593,32,6.353,0.871,34
hearing (court),7,3.571,2.032,35,3.486,1.461,35,3.909,2.165,33,4.714,1.782,35,5.086,1.442,35,4.343,1.851,35,6.029,1.014,34,5.242,1.457,33,4.941,1.083,34
hearing (ear),7,4.606,1.841,33,6.382,1.329,34,5.697,1.507,33,4.941,1.644,34,4.147,2.171,34,6.273,1.108,33,2.882,1.301,34,4.394,1.301,33,4.206,0.759,34
hen (chicken),3,3.588,2.198,34,5.629,1.333,35,5.147,1.833,34,6.6,0.932,35,6.824,0.452,34,5.909,1.747,33,2.361,1.273,36,2.194,1.391,36,1.833,1.213,36
hen (woman),3,4.546,2.176,33,5.438,1.298,32,4.727,1.797,33,5.375,1.364,32,5.688,1.285,32,4.061,2.173,33,5.121,1.737,33,3.394,1.301,33,1.485,1.077,33
hit (beat on),3,4.879,2.434,33,2.824,1.977,34,4.576,2.511,33,5,1.498,33,4.576,1.706,33,5.147,1.801,34,2.794,1.346,34,4.441,1.557,34,5.088,1.314,34
hit (music),3,5.657,2.11,35,6.813,1.667,32,5.735,1.668,34,4,1.639,32,4.091,1.881,33,5.485,1.559,33,4.177,1.224,34,4.286,2.022,35,3.735,0.949,34
hold (grasp),4,4.765,1.926,34,5.294,1.072,34,6.531,1.581,32,4.735,1.54,34,4.697,1.586,33,6.313,0.808,32,2.735,1.267,34,3.818,1.113,33,4.576,1.129,33
hold (store),4,3.086,1.592,35,5.714,1.322,35,5.576,1.498,33,4.5,1.667,34,4.121,1.665,33,4.273,1.797,33,4.057,1.53,35,4.758,1.371,33,4.412,0.943,34
hooker (prostitute),6,5.438,2.207,32,2.606,1.391,33,4.485,2.414,33,6.091,1.111,33,6.5,0.814,34,4.813,1.895,32,6.382,0.971,34,4.424,1.436,33,2.286,1.504,35
hooker (rugby),6,3.533,2.363,30,5.033,0.983,30,5.733,1.389,30,5.733,1.209,30,5.31,1.932,29,2.618,2.015,34,6.571,0.904,28,3.962,1.87,26,6.097,1.146,31
hound (dog),5,5.152,2.231,33,5.333,1.551,33,5.758,1.759,33,6.576,0.78,33,6.594,0.744,32,5,1.75,32,4.242,1.415,33,3.606,1.594,33,5.5,0.866,32
hound (persist),5,4.727,2.192,33,3.265,1.578,34,4.824,2.176,34,2.97,1.403,33,3.758,2.045,33,4.485,1.861,33,5.824,1.124,34,4.152,1.373,33,4.941,1.282,34
interest (attention),8,6.286,2.224,35,7.294,1.226,34,6.5,1.77,34,2.618,1.261,34,2.743,1.38,35,6.177,0.821,34,3.882,1.182,34,4.882,1.207,34,3.471,1.398,34
interest (monetary),8,4.061,1.953,33,5.364,1.772,33,4.75,1.785,32,3.576,1.741,33,3.097,1.766,31,5.03,1.732,33,6.258,1.015,31,4.333,1.551,33,5,1.138,34
iron (metal),4,3.1,2.119,30,5.167,1.036,30,5.879,1.629,33,6.727,0.897,33,6.406,0.897,32,6.125,1.364,32,3.656,1.314,32,3.839,1.725,31,5.546,0.988,33
iron (press),4,2.912,1.634,34,4.857,0.96,35,4.943,1.453,35,5.743,1.696,35,6.353,0.936,34,5.353,1.551,34,3.829,1.183,35,3.206,1.324,34,3.353,1.185,34
issue (distribute),5,3.714,1.83,35,5.6,1.418,35,5.229,1.495,35,3.206,1.605,34,3.647,1.643,34,4.441,1.818,34,5.559,0.976,34,4.343,1.372,35,3.943,1.145,35
issue (topic),5,4.849,1.743,33,4.879,0.913,33,5.471,1.519,34,3.364,1.648,33,3.235,1.628,34,5.882,1.255,34,5.324,1.322,34,4.727,1.262,33,3.971,0.822,34
jam (preserve),3,3.576,2.189,33,5.912,1.147,34,5.188,0.726,32,6.471,0.848,34,6.286,1.322,35,5.794,1.51,34,2.286,1.136,35,2.353,1.258,34,3.2,1.009,35
jam (traffic),3,4.286,2.211,35,3.057,1.413,35,3,1.985,34,6,1.219,35,6.571,0.965,35,6.059,1.589,34,3.667,1.546,36,5.182,1.623,33,5.056,0.97,36
joint (elbow),5,3.424,1.577,33,5.029,0.878,35,4.788,1.701,33,6.5,0.901,32,6.353,0.997,34,5.625,1.452,32,3.714,1.161,35,2.941,1.349,34,4.235,0.597,34
joint (meat),5,4.697,2.195,33,5.424,1.67,33,5.531,1.803,32,5.875,1.672,32,6.412,0.974,34,5.576,1.303,33,4.441,1.612,34,3.152,1.459,33,5.371,0.988,35
judge (courtroom),5,4.969,2.456,32,4.818,1.566,33,4.313,3.005,32,5.879,1.343,33,6.303,0.969,33,5.212,1.996,33,4.152,1.019,33,5.091,1.583,33,5.333,0.974,33
judge (evaluate),5,5.088,1.805,34,4.559,1.575,34,6.486,2.222,35,2.971,1.715,35,3.143,1.533,35,5.714,1.364,35,4.543,1.461,35,5.171,1.028,35,4.114,1.347,35
jumper (athlete),6,5.353,1.877,34,5.909,1.215,33,5.697,1.605,33,6.152,1.019,33,6.25,1.146,32,4.882,2.083,34,4.091,1.288,33,3.909,1.443,33,4.971,0.985,34
jumper (sweater),6,3.636,1.997,33,6,1.014,35,5.353,1.412,34,6.677,0.629,34,6.677,0.898,34,6.333,1.295,33,2.486,0.841,35,3.647,1.258,34,4.294,1.201,34
key (crucial),3,5,2.578,31,6.677,1.377,31,5.871,1.896,31,3.182,1.8,33,2.774,1.827,31,5.897,1.125,29,5.03,1.403,33,5.355,1.597,31,3.97,0.674,33
key (keyboard),3,3.382,1.986,34,5.471,0.947,34,5.514,1.402,35,6.588,0.732,34,6.5,0.814,34,6.219,0.992,32,3.829,1.028,35,2.265,1.29,34,4.088,0.742,34
key (lock),3,4.188,2.113,32,5.514,1.228,35,6.281,1.586,32,6.531,0.901,32,6.606,0.814,33,6.235,1.059,34,2.546,1.131,33,2.667,1.589,33,4.25,1.031,32
key (musical),3,4.909,2.429,33,6.382,1.456,34,5.324,1.778,34,4.853,1.717,34,4.118,2.193,34,5.094,1.444,32,4.03,1.291,33,3.313,1.488,32,3.343,1.308,35
kids (children),4,4.457,2.061,35,6.765,2.045,34,5.031,2.338,32,6.206,1.367,34,6.455,0.956,33,6.455,0.924,33,2.171,0.941,35,3.618,1.91,34,2.5,1.17,34
kids (goats),4,3.515,1.743,33,5.171,0.609,35,4.6,1.126,35,6.4,0.869,35,6.441,0.945,34,3.794,1.982,34,4.286,1.56,35,2.971,1.175,34,3.743,0.84,35
kind (nice),4,5.697,1.605,33,8,0.968,32,5.969,1.845,32,3.226,1.56,31,3.516,1.794,31,6.25,1,32,2.424,1.156,33,4.471,1.48,34,2.529,1.091,34
kind (type),4,3.758,1.81,33,5.758,1.577,33,4.971,1.612,35,3.03,1.527,33,3.343,1.706,35,5.303,1.547,33,2.8,1.166,35,3.882,1.231,34,3.677,1.021,34
kite (bird),4,4.094,2.141,32,5.794,0.963,34,5.265,1.596,34,6.471,0.915,34,5.563,1.54,32,3.03,1.784,33,5.667,1.45,33,2.485,1.598,33,3.394,1.127,33
kite (toy),4,5.235,1.971,34,6.794,1.183,34,5.882,1.623,34,6.429,0.935,35,6.514,0.841,35,5.588,1.717,34,2.265,0.885,34,2.686,1.43,35,4.057,1.17,35
kiwi (bird),4,3.6,1.974,35,5.485,0.783,33,5.303,0.87,33,6.429,0.904,35,6.059,1.282,34,4.088,1.931,34,4.886,1.703,35,2.706,1.226,34,3.697,0.758,33
kiwi (fruit),4,4.857,2.127,35,6.057,1.068,35,5.429,1.555,35,6.424,0.854,33,6.6,0.835,35,5.818,1.546,33,2.857,1.046,35,2.314,1.166,35,3.257,0.936,35
kiwi (New Zealander),4,5.063,2.423,32,5.742,1.269,31,5,0.916,31,5.161,1.798,31,5.1,1.66,30,3.767,2.044,30,6.032,1.15,31,3.645,1.471,31,4.29,1.141,31
knots (rope),5,3.969,1.912,32,4.546,1.479,33,5.091,2.065,33,6.061,1.496,33,6.455,1.131,33,5.546,1.578,33,3.4,1.101,35,2.853,1.478,34,4.971,1.317,34
knots (speed),5,4.25,2.278,32,5.333,0.804,33,5.394,1.434,33,3.788,1.719,33,2.727,1.441,33,3.324,1.81,34,5.912,0.951,34,3.781,1.556,32,5.333,1.198,33
landing (plane),7,4.546,2.271,33,5.879,1.32,33,5.03,1.766,33,5.471,1.334,34,5.971,1.2,34,5.559,1.397,34,3.441,1.241,34,4.765,1.436,34,4.688,1.014,32
landing (stairs),7,3.294,1.856,34,5.147,0.601,34,5.156,1.622,32,6.343,0.826,35,6.229,0.988,35,4.677,1.761,34,3.5,1.419,34,3.914,1.339,35,3.912,0.562,34
lark (bird),4,3.8,2.33,30,6.438,1.321,32,5.258,1.244,31,6.548,0.874,31,5.621,1.69,29,4.406,2.075,32,4.871,1.947,31,2.533,1.565,30,2.9,1.165,30
lark (fun),4,5.938,2.263,32,7.313,0.982,32,6.344,1.67,32,3.469,1.224,32,4.375,1.615,32,2.727,1.763,33,5.375,1.244,32,4.25,0.968,32,4.063,1.345,32
lead (direct),4,4.941,2.169,34,5.706,1.6,34,6.457,2.611,35,3.6,1.377,35,4.382,1.698,34,5.543,1.499,35,4,1.057,34,4.943,1.194,35,4.771,1.098,35
lead (heavy metal),4,3.2,1.753,35,4.371,1.221,35,5.114,1.703,35,6.543,0.769,35,5.457,1.499,35,4.629,1.958,35,4.743,1.13,35,4.457,1.73,35,5.4,1.074,35
lead (leash),4,4.091,2.417,33,4.758,1.393,33,4.606,2.806,33,6.061,1.347,33,6.182,1.058,33,5.606,1.632,33,3,1.128,33,3.03,1.487,33,4.546,1.233,33
lean (skinny),4,4.758,2.104,33,5.212,1.701,33,4.424,1.634,33,4.455,1.519,33,5.281,1.419,32,4.758,1.892,33,5,1.303,33,2.406,1.247,32,3.091,1.311,33
lean (tilt),4,3.647,1.661,34,4.735,0.885,34,4.912,1.755,34,4.455,1.539,33,5.242,1.457,33,5.471,1.631,34,3.382,1.112,34,3.594,1.271,32,3.727,0.827,33
leg (component),3,3.438,1.619,32,5.645,0.9,31,5.594,1.765,32,6,1.348,33,5.387,2.043,31,5.467,1.784,30,3.636,1.967,33,3.387,1.517,31,4.065,0.716,31
leg (limb),3,4.371,2.166,35,5.559,0.976,34,5.657,1.603,35,6.882,0.529,34,6.8,0.524,35,6.5,0.814,34,1.794,0.796,34,3.686,1.563,35,4.059,0.906,34
legend (key),6,3.482,1.853,27,5.379,0.715,29,4.852,0.803,27,4.926,1.412,27,4.704,1.629,27,3.781,2.301,32,5.857,1.302,28,3.357,1.394,28,4.179,0.966,28
legend (tale),6,6.086,2.383,35,6.943,1.372,35,5.829,1.483,35,3.382,1.831,34,4.441,1.684,34,5.057,1.739,35,3.829,1.207,35,5.529,1.48,34,4.886,1.282,35
letter (alphabet),6,2.576,1.724,33,5.485,0.989,33,5.515,1.708,33,5.212,1.771,33,5.909,1.379,33,6.313,1.424,32,2,0.739,33,2.364,1.772,33,4.061,0.649,33
letter (correspondence),6,4.5,2.186,34,5.618,1.112,34,5.8,1.327,35,6.057,1.194,35,5.882,1.388,34,5.943,1.218,35,3.114,1.237,35,2.853,0.912,34,3.6,0.932,35
letters (alphabet),7,3.515,1.794,33,5.303,0.834,33,5.441,1.09,34,5.688,1.285,32,6.156,1.228,32,5.971,1.465,34,2.212,1.008,33,3.229,1.658,35,3.939,0.694,33
letters (correspondence),7,4.057,1.97,35,5.576,0.854,33,5.424,1.457,33,5.515,1.438,33,6.147,1.216,34,5.294,1.637,34,3.147,1.088,34,3.057,1.33,35,3.727,0.93,33
lie (position),3,3.857,2.113,35,5.543,1.078,35,4.8,1.983,35,4.914,1.61,35,5.457,1.662,35,6.031,1.447,32,2.486,1.556,35,3.229,1.396,35,3.677,0.794,34
lie (untruth),3,4.647,2.472,34,2.059,1.371,34,4.382,2.723,34,3.382,1.941,34,2.824,1.706,34,6.412,1.088,34,2.088,0.742,34,4.677,1.727,34,4.576,1.045,33
lies (position),4,3.941,2.555,34,4.886,1.214,35,4.758,2.175,33,4.629,1.514,35,5.515,1.395,33,5.647,1.588,34,2.971,1.445,34,3.677,1.254,34,4,0.939,34
lies (untruths),4,4.936,2.639,31,1.788,0.844,33,4.088,2.254,34,3.029,1.715,35,3.029,1.689,34,6.147,1.191,34,2.714,1.278,35,4.677,1.622,34,4.333,1.223,33
lift (elevator),4,3.531,2.091,32,5.313,1.13,32,4.875,1.763,32,6.688,0.634,32,6.645,0.743,31,6.414,0.966,29,2.758,1.156,33,3.8,1.681,30,4.576,0.986,33
lift (raise),4,4.143,2.016,35,6,1.434,35,6.294,1.582,34,4.829,1.905,35,5.265,1.559,34,5.853,1.167,34,2.543,1.179,35,4.086,1.36,35,4.647,0.967,34
light (brightness),5,6.294,2.177,34,7.457,1.295,35,5.546,1.86,33,5.303,1.696,33,6.161,0.883,31,6.516,0.757,31,2.765,1.352,34,5.735,1.313,34,2.971,1.014,34
light (weight),5,3.677,2.124,34,5.647,1.78,34,4.5,2.076,34,4.086,1.763,35,4,2.044,34,5.906,1.128,32,3,1.306,34,2.235,1.307,34,2.971,1.253,35
like (love),4,6.735,2.019,34,7.706,1.466,34,5.5,2.332,32,2.941,1.83,34,3.824,1.977,34,6.758,0.74,33,2.206,1.278,34,5.559,1.499,34,2.667,1.223,33
like (similar to),4,3.382,1.799,34,5.559,1.034,34,5.121,0.729,33,2.727,1.441,33,2.636,1.685,33,6.235,1.516,34,2.588,1.141,34,3.273,1.023,33,3.382,0.805,34
limb (body),4,3.824,1.87,34,5.343,0.715,35,5.914,1.842,35,6.714,0.74,35,6.441,0.811,34,5.294,1.741,34,4.143,1.268,35,3.914,1.339,35,4.286,0.813,35
limb (tree),4,3.303,1.425,33,5.455,1.047,33,5.061,1.229,33,6.265,1.22,34,6.061,1.071,33,3.629,1.929,35,4.219,1.576,32,4.121,1.647,33,4.031,1.015,32
litter (animal babies),6,4.758,2.686,33,7.125,1.495,32,4.936,1.684,31,6.5,1.09,32,6.161,1.247,31,5.188,1.878,32,4.091,1.288,33,2.688,1.53,32,2.636,1.176,33
litter (trash),6,3.029,1.871,34,3.147,1.611,34,5.588,1.865,34,6.576,0.74,33,6.471,0.915,34,5.941,1.235,34,2.886,1.09,35,3.229,1.197,35,4.343,0.955,35
live (not recorded),4,6.25,1.479,32,6.5,1.199,32,5.606,1.324,33,4.531,1.601,32,4.563,1.836,32,6.313,0.982,32,4.406,1.389,32,5.063,1.144,32,4.121,0.591,33
live (to exist),4,6.758,2.001,33,7.914,1.251,35,7.118,1.906,34,4.091,2.353,33,4.353,1.998,34,6.206,1.079,34,2.629,1.071,35,5.758,1.436,33,3.8,0.92,35
loaf (be lazy),4,2.818,1.623,33,3.281,1.375,32,4.879,1.903,33,3.333,1.682,33,4.03,1.732,33,3.242,2.031,33,5.594,1.497,32,3.125,1.244,32,5.03,1,33
loaf (bread),4,3.086,1.826,35,5.686,0.949,35,5.118,1.207,34,6.844,0.441,32,6.939,0.239,33,6.333,1.247,33,3,1.219,35,2.424,1.256,33,3.941,0.765,34
lock (door),4,4.314,2.29,35,4.882,1.491,34,5.242,2.547,33,6.206,1.231,34,6.171,1.108,35,6.065,1.413,31,2.971,1.028,35,2.618,1.351,34,4.529,1.289,34
lock (hair),4,4.177,1.806,34,5.469,1.414,32,5.382,1.534,34,5.742,1.244,31,6.194,1.09,31,4.688,1.81,32,4.471,1.377,34,2.382,1.476,34,2.813,1.31,32
log (record),3,3.118,1.605,34,5.088,1.039,34,5.273,1.675,33,4.971,1.465,34,4.588,1.817,34,4.606,2.014,33,5.324,1.049,34,3.939,1.516,33,4.303,0.834,33
log (wood),3,3.364,2.144,33,5.314,0.919,35,5.645,1.597,31,6.382,1,34,6.455,1.157,33,5.212,1.788,33,2.971,1.404,35,4.194,1.595,31,5.469,1,32
logs (records),4,2.5,1.719,34,5.121,1.122,33,5.177,1.562,34,5.471,1.334,34,5.029,1.521,35,3.781,1.672,32,5.657,1.393,35,3.546,1.373,33,4.457,1.051,35
logs (wood),4,3.424,1.826,33,5.735,1.196,34,5.618,1.372,34,6.75,0.5,32,6.529,0.977,34,5.313,1.59,32,3.324,0.992,34,3.912,1.788,34,5.324,0.962,34
long (not short),4,4.206,1.982,34,5.206,1.207,34,5.294,1.775,34,4.235,1.573,34,5.029,1.823,34,6.394,0.919,33,2.118,1.051,34,4.853,1.629,34,4.382,0.971,34
